url_path,relative_file,http_methods,method_count
/api/leagues/join,app/api/leagues/join/route.ts,POST,1
/api/leagues/list,app/api/leagues/list/route.ts,GET,1
/api/leagues/my-requests,app/api/leagues/my-requests/route.ts,GET,1
/api/leagues/request,app/api/leagues/request/route.ts,POST,1
/api/leagues,app/api/leagues/route.ts,GET;POST,2
/api/learn/categories,app/api/learn/categories/route.ts,GET,1
/api/license,app/api/license/route.ts,GET,1
/api/manifest/tonconnect,app/api/manifest/tonconnect/route.ts,GET,1
/api/marketplace/buy,app/api/marketplace/buy/route.ts,POST,1
/api/marketplace/listings/[id]/cancel,app/api/marketplace/listings/[id]/cancel/route.ts,POST,1
/api/marketplace/listings,app/api/marketplace/listings/route.ts,GET;POST,2
/api/marketplace/me,app/api/marketplace/me/route.ts,GET,1
/api/master/admins,app/api/master/admins/route.ts,POST,1
/api/master/organizations/[id]/favicon,app/api/master/organizations/[id]/favicon/route.ts,DELETE;POST,2
/api/master/organizations/[id],app/api/master/organizations/[id]/route.ts,PATCH,1
/api/master/organizations,app/api/master/organizations/route.ts,GET;POST,2
/api/master/summary,app/api/master/summary/route.ts,GET,1
/api/milestone-banner,app/api/milestone-banner/route.ts,GET,1
/api/mini-games,app/api/mini-games/route.ts,GET;POST,2
/api/notifications,app/api/notifications/route.ts,GET,1
/api/onchain-tasks/check,app/api/onchain-tasks/check/route.ts,POST,1
/api/onchain-tasks,app/api/onchain-tasks/route.ts,GET,1
/api/org/[slug]/favicon,app/api/org/[slug]/favicon/route.ts,GET,1
/api/payments/[id]/public,app/api/payments/[id]/public/route.ts,GET,1
/api/payments/[id],app/api/payments/[id]/route.ts,GET;PATCH,2
/api/payments/export,app/api/payments/export/route.ts,GET,1
/api/payments,app/api/payments/route.ts,GET;POST,2
/api/pearls/activity,app/api/pearls/activity/route.ts,POST,1
/api/pearls/buy,app/api/pearls/buy/route.ts,POST,1
/api/pearls/convert,app/api/pearls/convert/route.ts,POST,1
/api/pearls/me,app/api/pearls/me/route.ts,POST,1
/api/pearls/sell,app/api/pearls/sell/route.ts,POST,1
/api/pearls/swap,app/api/pearls/swap/route.ts,POST,1
/api/pearls/transfer,app/api/pearls/transfer/route.ts,POST,1
/api/pearls/withdraw,app/api/pearls/withdraw/route.ts,POST,1
/api/programmes/[code]/quote,app/api/programmes/[code]/quote/route.ts,GET,1
/api/programmes,app/api/programmes/route.ts,GET,1
/api/public/checkout/payment,app/api/public/checkout/payment/route.ts,POST,1
/api/public/checkout/student,app/api/public/checkout/student/route.ts,POST,1
/api/public/checkout/ton-pay-transfer,app/api/public/checkout/ton-pay-transfer/route.ts,POST,1
/api/public/organization-register,app/api/public/organization-register/route.ts,POST,1
/api/public/organizations,app/api/public/organizations/route.ts,GET,1
/api/published-activities,app/api/published-activities/route.ts,GET,1
/api/quiz,app/api/quiz/route.ts,GET,1
/api/quiz/submit,app/api/quiz/submit/route.ts,POST,1
/api/rankings/me,app/api/rankings/me/route.ts,GET,1
/api/rankings,app/api/rankings/route.ts,GET,1
/api/receipt-rush/my,app/api/receipt-rush/my/route.ts,POST,1
/api/receipt-rush/submit,app/api/receipt-rush/submit/route.ts,POST,1
/api/receipt-rush/upload,app/api/receipt-rush/upload/route.ts,POST,1
/api/receipts/[paymentId]/pdf,app/api/receipts/[paymentId]/pdf/route.ts,GET,1
/api/receipts/[paymentId],app/api/receipts/[paymentId]/route.ts,GET,1
/api/refill-energy,app/api/refill-energy/route.ts,POST,1
/api/shop/products/[id]/buy,app/api/shop/products/[id]/buy/route.ts,POST,1
/api/shop/products/[id],app/api/shop/products/[id]/route.ts,GET,1
/api/shop/products,app/api/shop/products/route.ts,GET;POST,2
/api/shop/settings,app/api/shop/settings/route.ts,GET,1
/api/shop/upload,app/api/shop/upload/route.ts,POST,1
/api/staking,app/api/staking/route.ts,GET;POST,2
/api/student/me,app/api/student/me/route.ts,GET,1
/api/students/[id]/portal-password,app/api/students/[id]/portal-password/route.ts,PATCH,1
/api/students/[id],app/api/students/[id]/route.ts,GET,1
/api/students,app/api/students/route.ts,GET;POST,2
/api/support-chat,app/api/support-chat/route.ts,POST,1
/api/sync,app/api/sync/route.ts,POST,1
/api/tasks/check/redeem-code,app/api/tasks/check/redeem-code/route.ts,POST,1
/api/tasks/check/referral,app/api/tasks/check/referral/route.ts,POST,1
/api/tasks/check/telegram,app/api/tasks/check/telegram/route.ts,POST,1
/api/tasks/check/visit,app/api/tasks/check/visit/route.ts,POST,1
/api/tasks,app/api/tasks/route.ts,GET,1
/api/tasks/update/visit,app/api/tasks/update/visit/route.ts,POST,1
/api/team-challenges/[id]/accept,app/api/team-challenges/[id]/accept/route.ts,POST,1
/api/team-challenges/[id]/contribute,app/api/team-challenges/[id]/contribute/route.ts,POST,1
/api/team-challenges/[id],app/api/team-challenges/[id]/route.ts,GET,1
/api/team-challenges,app/api/team-challenges/route.ts,GET;POST,2
/api/teams/[id]/manage/opinions/[opinionId]/vote,app/api/teams/[id]/manage/opinions/[opinionId]/vote/route.ts,POST,1
/api/teams/[id]/manage,app/api/teams/[id]/manage/route.ts,GET;POST,2
/api/teams/[id]/member-dashboard,app/api/teams/[id]/member-dashboard/route.ts,GET,1
/api/teams/[id]/requests,app/api/teams/[id]/requests/route.ts,GET;POST,2
/api/teams/by-code,app/api/teams/by-code/route.ts,GET,1
/api/teams/join,app/api/teams/join/route.ts,POST,1
/api/teams/list,app/api/teams/list/route.ts,GET,1
/api/teams/request,app/api/teams/request/route.ts,POST,1
/api/teams,app/api/teams/route.ts,GET;POST,2
/api/transfers/me,app/api/transfers/me/route.ts,GET,1
/api/transfers/recent,app/api/transfers/recent/route.ts,GET,1
/api/transfers/send,app/api/transfers/send/route.ts,POST,1
/api/upgrade/energy-limit,app/api/upgrade/energy-limit/route.ts,POST,1
/api/upgrade/mine,app/api/upgrade/mine/route.ts,POST,1
/api/upgrade/multitap,app/api/upgrade/multitap/route.ts,POST,1
/api/user/delete,app/api/user/delete/route.ts,POST,1
/api/user/referrals,app/api/user/referrals/route.ts,GET,1
/api/user,app/api/user/route.ts,POST,1
/api/wallet/connect,app/api/wallet/connect/route.ts,POST,1
/api/wallet/disconnect,app/api/wallet/disconnect/route.ts,POST,1
/api/webhooks/momo,app/api/webhooks/momo/route.ts,GET;POST,2
/api/webhooks/telegram,app/api/webhooks/telegram/route.ts,POST,1
/api/weekly-event,app/api/weekly-event/route.ts,GET;POST,2
